s_km grade_pct kappa vmax_kmh
35.32000 -0.20451 -0.00036 64.37376
35.42000 -0.15506 -0.00033 64.37376
35.52000 -0.14688 -0.00043 64.37376
35.62000 -0.14837 -0.00042 64.37376
35.72000 -0.14577 -0.00034 64.37376
35.82000 -0.15274 -0.00035 64.37376
35.92000 -0.16675 -0.00023 64.37376
36.02000 -0.17160 -0.00010 64.37376
36.12000 -0.15680 0.00001 64.37376
36.22000 -0.14647 -0.00001 64.37376
36.32000 -0.17337 -0.00001 64.37376
36.42000 -0.20025 0.00003 64.37376
36.52000 -0.21694 -0.00003 64.37376
36.62000 -0.22137 -0.00001 64.37376
36.72000 -0.22133 0.00005 64.37376
36.82000 -0.22179 -0.00005 64.37376
36.92000 -0.21810 -0.00001 64.37376
37.02000 -0.20452 0.00001 64.37376
37.12000 -0.20069 -0.00001 64.37376
37.22000 -0.20024 -0.00000 64.37376
37.32000 -0.19793 -0.00001 64.37376
37.42000 -0.19696 0.00002 64.37376
37.52000 -0.20610 0.00001 64.37376
37.62000 -0.22769 -0.00001 64.37376
37.72000 -0.26668 -0.00001 64.37376
37.82000 -0.29004 -0.00002 64.37376
37.92000 -0.29594 -0.00003 64.37376
38.02000 -0.28123 -0.00004 64.37376
38.12000 -0.25433 -0.00039 64.37376
38.22000 -0.20796 -0.00078 64.37376
38.32000 -0.16911 -0.00086 64.37376
38.42000 -0.13562 -0.00083 64.37376
38.52000 -0.12160 -0.00088 64.37376
38.62000 -0.12437 -0.00085 64.37376
38.72000 -0.14023 -0.00076 64.37376
38.82000 -0.15698 -0.00097 64.37376
38.92000 -0.17549 -0.00090 64.37376
39.02000 -0.17309 -0.00090 64.37376
39.12000 -0.18570 -0.00082 64.37376
39.22000 -0.19904 -0.00081 64.37376
39.32000 -0.19687 -0.00090 64.37376
39.42000 -0.17988 -0.00089 64.37376
39.52000 -0.17307 -0.00085 64.37376
39.62000 -0.17858 -0.00090 64.37376
39.72000 -0.17405 -0.00087 64.37376
39.82000 -0.16428 -0.00060 64.37376
39.92000 -0.16277 -0.00015 64.37376
40.02000 -0.17431 0.00001 64.37376
40.12000 -0.18473 0.00003 64.37376
40.22000 -0.18283 0.00001 64.37376
40.32000 -0.18772 -0.00003 64.37376
40.42000 -0.19824 -0.00002 64.37376
40.52000 -0.20320 0.00000 64.37376
40.62000 -0.21115 0.00001 64.37376
40.72000 -0.22190 0.00024 64.37376
40.82000 -0.24435 0.00089 64.37376
40.92000 -0.26551 0.00116 64.37376
41.02000 -0.27262 0.00119 64.37376
41.12000 -0.25704 0.00118 64.37376
41.22000 -0.23689 0.00119 64.37376
41.32000 -0.20428 0.00113 64.37376
41.42000 -0.16840 0.00089 64.37376
41.52000 -0.14448 0.00033 64.37376
41.62000 -0.14207 0.00002 64.37376
41.72000 -0.15611 0.00003 64.37376
41.82000 -0.18550 0.00003 64.37376
41.92000 -0.19958 -0.00001 64.37376
42.02000 -0.19895 -0.00005 64.37376
42.12000 -0.18698 0.00005 64.37376
42.22000 -0.16873 0.00004 64.37376
42.32000 -0.16611 -0.00001 64.37376
42.42000 -0.17058 0.00021 64.37376
42.52000 -0.17682 0.00078 64.37376
42.62000 -0.19960 0.00112 64.37376
42.72000 -0.24319 0.00116 64.37376
42.82000 -0.28830 0.00116 64.37376
42.92000 -0.31378 0.00112 64.37376
